VariableID:219:3779	Alias	radius/medium	FLOAT	alias:VariableID:208:3758
VariableID:219:3780	Alias	radius/large	FLOAT	alias:VariableID:208:3759
VariableID:219:3781	Alias	radius/xlarge	FLOAT	alias:VariableID:208:3760
VariableID:219:3782	Alias	radius/2xlarge	FLOAT	alias:VariableID:208:3761
VariableID:219:3783	Alias	radius/round	FLOAT	9999
VariableID:219:3787	Alias	border-width/none	FLOAT	alias:VariableID:208:3756
VariableID:219:3788	Alias	border-width/small	FLOAT	alias:VariableID:219:3765
VariableID:219:3789	Alias	border-width/medium	FLOAT	alias:VariableID:219:3766
VariableID:219:3815	Alias	space/none	FLOAT	alias:VariableID:208:3756
VariableID:219:3816	Alias	space/3xsmall	FLOAT	alias:VariableID:219:3765
VariableID:219:3817	Alias	space/2xsmall	FLOAT	alias:VariableID:219:3766
VariableID:219:3818	Alias	space/xsmall	FLOAT	alias:VariableID:208:3757
VariableID:219:3819	Alias	space/small	FLOAT	alias:VariableID:208:3758
VariableID:219:3820	Alias	space/medium	FLOAT	alias:VariableID:208:3759
VariableID:219:3821	Alias	space/large	FLOAT	alias:VariableID:208:3760
VariableID:219:3822	Alias	space/xlarge	FLOAT	alias:VariableID:208:3761
VariableID:219:3823	Alias	space/2xlarge	FLOAT	alias:VariableID:208:3762
VariableID:219:3824	Alias	space/3xlarge	FLOAT	alias:VariableID:208:3764
VariableID:219:3825	Alias	space/4xlarge	FLOAT	alias:VariableID:219:3768
VariableID:219:3826	Alias	space/5xlarge	FLOAT	alias:VariableID:219:3769
VariableID:219:3827	Alias	space/6xlarge	FLOAT	alias:VariableID:219:3771
VariableID:219:3828	Alias	space/7xlarge	FLOAT	alias:VariableID:219:3772
VariableID:219:3829	Alias	space/8xlarge	FLOAT	alias:VariableID:219:3773
VariableID:219:3831	Alias	size/xsmall	FLOAT	alias:VariableID:208:3757
VariableID:299:0010	Alias	size/2xsmall	FLOAT	10
VariableID:219:3832	Alias	size/small	FLOAT	alias:VariableID:208:3760
VariableID:219:3833	Alias	size/medium	FLOAT	alias:VariableID:208:3761
VariableID:219:3834	Alias	size/large	FLOAT	alias:VariableID:208:3762
VariableID:219:3835	Alias	size/xlarge	FLOAT	alias:VariableID:208:3764
VariableID:219:3836	Alias	size/2xlarge	FLOAT	alias:VariableID:219:3767
VariableID:219:3837	Alias	size/3xlarge	FLOAT	alias:VariableID:219:3768
VariableID:219:3838	Alias	size/4xlarge	FLOAT	44
VariableID:219:3839	Alias	size/5xlarge	FLOAT	alias:VariableID:219:3769
VariableID:219:3840	Alias	size/6xlarge	FLOAT	alias:VariableID:219:3771
VariableID:219:3868	Mapped	Text/text-default	COLOR	alias:VariableID:208:3689
VariableID:223:3896	Mapped	Text/text-muted	COLOR	alias:VariableID:208:3690
VariableID:223:3897	Mapped	Text/text-subtle	COLOR	alias:VariableID:208:3691
VariableID:223:3898	Mapped	Text/text-disabled	COLOR	alias:VariableID:208:3692
VariableID:223:3899	Mapped	Text/text-link	COLOR	alias:VariableID:208:3695
